Date,Cakes,Pies,Cookies,Smoothies,Coffee,promotion
1/1/2013,79,46,518,60,233,none
1/2/2013,91,50,539,161,427,none
1/3/2013,47,60,222,166,347,none
1/4/2013,89,64,734,153,358,none
1/5/2013,112,73,764,240,392,none
1/6/2013,89,57,922,259,510,none
1/7/2013,70,50,476,120,334,none
1/8/2013,70,48,496,222,316,none
1/9/2013,59,37,587,181,156,none
1/10/2013,71,36,488,178,298,none
1/11/2013,74,50,645,100,490,none
1/12/2013,119,71,438,162,416,none
1/13/2013,90,51,568,137,434,none
1/14/2013,96,48,585,194,573,promotion
1/15/2013,62,56,536,112,287,none
1/16/2013,48,33,336,151,420,none
1/17/2013,58,67,404,166,376,none
1/18/2013,74,74,533,181,456,none
1/19/2013,94,45,470,208,584,none
1/20/2013,97,54,395,231,411,none
1/21/2013,79,36,431,159,308,none
1/22/2013,67,39,276,204,382,none
1/23/2013,81,43,387,184,295,none
1/24/2013,71,42,456,114,365,none
1/25/2013,95,58,647,113,362,none
1/26/2013,95,16,597,178,425,none
1/27/2013,93,66,470,192,355,none
1/28/2013,60,46,590,203,255,none
1/29/2013,79,38,535,141,287,none
1/30/2013,80,40,397,204,382,none
1/31/2013,77,45,508,181,503,none
2/1/2013,71,59,731,236,419,none
2/2/2013,89,62,602,213,329,none
2/3/2013,90,59,536,224,627,none
2/4/2013,81,49,518,127,429,none
2/5/2013,93,54,331,171,328,none
2/6/2013,65,34,406,146,435,none
2/7/2013,61,50,430,160,376,none
2/8/2013,112,70,601,267,581,none
2/9/2013,103,58,411,141,488,none
2/10/2013,113,60,440,187,387,none
2/11/2013,63,43,334,209,236,none
2/12/2013,72,49,424,184,460,none
2/13/2013,93,61,599,218,388,promotion
2/14/2013,63,53,371,118,226,none
2/15/2013,67,50,730,195,523,promotion
2/16/2013,66,71,820,225,568,none
2/17/2013,83,69,611,125,535,none
2/18/2013,84,56,549,179,320,promotion
2/19/2013,77,43,405,206,310,none
2/20/2013,69,59,431,202,509,none
2/21/2013,94,45,632,260,200,promotion
2/22/2013,93,44,689,159,420,none
2/23/2013,70,70,612,244,258,none
2/24/2013,58,51,599,203,331,none
2/25/2013,63,57,502,143,330,none
2/26/2013,68,34,411,99,282,none
2/27/2013,66,56,551,159,445,none
2/28/2013,48,50,470,165,248,none
3/1/2013,73,56,622,119,355,none
3/2/2013,120,84,597,247,506,promotion
3/3/2013,122,52,679,139,506,promotion
3/4/2013,55,42,352,156,297,none
3/5/2013,84,46,513,161,251,none
3/6/2013,75,52,365,100,357,none
3/7/2013,44,45,392,126,317,none
3/8/2013,87,49,653,241,455,none
3/9/2013,128,48,674,168,630,none
3/10/2013,103,59,762,206,481,none
3/11/2013,62,54,356,137,231,none
3/12/2013,92,50,605,171,388,none
3/13/2013,83,52,527,150,485,none
3/14/2013,78,38,439,92,285,none
3/15/2013,67,47,639,246,444,none
3/16/2013,116,51,557,291,381,none
3/17/2013,117,57,718,269,440,promotion
3/18/2013,57,45,520,140,186,none
3/19/2013,71,30,343,130,255,none
3/20/2013,110,43,261,129,304,none
3/21/2013,84,37,420,179,462,none
3/22/2013,81,44,515,224,483,none
3/23/2013,108,68,793,235,375,none
3/24/2013,87,46,585,281,455,none
3/25/2013,80,46,308,117,374,none
3/26/2013,61,37,440,196,322,none
3/27/2013,95,23,529,142,231,none
3/28/2013,61,42,359,68,352,none
3/29/2013,78,41,528,91,460,none
3/30/2013,88,33,817,271,225,none
3/31/2013,78,77,515,172,300,none
4/1/2013,75,37,411,166,335,none
4/2/2013,73,41,417,68,262,none
4/3/2013,76,54,497,215,348,none
4/4/2013,83,46,417,191,500,none
4/5/2013,101,72,519,289,439,none
4/6/2013,94,74,552,247,333,none
4/7/2013,89,53,487,253,435,none
4/8/2013,95,54,594,147,282,promotion
4/9/2013,64,63,284,147,254,none
4/10/2013,75,36,522,149,370,none
4/11/2013,88,39,320,212,263,none
4/12/2013,106,69,445,119,433,none
4/13/2013,101,74,653,215,444,none
4/14/2013,89,52,633,261,518,none
4/15/2013,76,44,491,140,300,none
4/16/2013,74,44,599,164,396,none
4/17/2013,67,52,410,231,295,none
4/18/2013,87,38,564,305,339,none
4/19/2013,107,45,609,288,412,none
4/20/2013,94,75,632,272,444,none
4/21/2013,77,53,606,257,313,none
4/22/2013,73,36,360,180,475,none
4/23/2013,51,47,631,147,253,none
4/24/2013,72,44,460,232,391,none
4/25/2013,59,43,285,162,292,none
4/26/2013,94,78,685,245,621,none
4/27/2013,79,68,400,252,385,none
4/28/2013,64,61,757,216,301,none
4/29/2013,87,43,405,143,309,none
4/30/2013,72,40,403,188,294,none
5/1/2013,71,61,467,178,273,none
5/2/2013,57,49,418,251,295,none
5/3/2013,100,44,434,205,467,none
5/4/2013,84,98,622,346,366,none
5/5/2013,140,41,635,226,372,none
5/6/2013,83,46,588,159,357,none
5/7/2013,118,45,461,201,183,none
5/8/2013,73,43,463,277,257,none
5/9/2013,77,54,552,254,111,none
5/10/2013,95,45,530,248,491,none
5/11/2013,90,52,431,303,525,none
5/12/2013,96,58,395,362,388,none
5/13/2013,90,42,391,193,273,none
5/14/2013,53,52,432,297,248,none
5/15/2013,79,40,581,182,408,none
5/16/2013,66,55,525,195,248,none
5/17/2013,82,50,740,272,276,none
5/18/2013,115,60,710,405,353,none
5/19/2013,61,41,433,300,326,none
5/20/2013,96,45,394,293,516,none
5/21/2013,64,48,363,194,287,none
5/22/2013,77,68,611,145,506,promotion
5/23/2013,80,44,359,153,321,none
5/24/2013,93,57,415,194,424,none
5/25/2013,112,61,568,377,565,none
5/26/2013,100,60,595,257,452,none
5/27/2013,81,47,504,167,418,none
5/28/2013,79,59,460,231,283,none
5/29/2013,66,54,521,254,475,none
5/30/2013,45,59,547,173,419,none
5/31/2013,82,59,305,98,294,none
6/1/2013,93,64,631,297,394,none
6/2/2013,102,59,612,322,456,none
6/3/2013,45,36,417,313,282,none
6/4/2013,58,50,385,198,263,none
6/5/2013,95,43,373,185,438,none
6/6/2013,61,30,513,235,311,none
6/7/2013,56,66,572,423,326,none
6/8/2013,77,76,601,379,617,none
6/9/2013,77,66,579,327,315,none
6/10/2013,83,43,502,112,330,none
6/11/2013,83,56,609,323,422,promotion
6/12/2013,69,32,543,258,312,none
6/13/2013,61,52,322,289,294,none
6/14/2013,76,85,534,385,353,none
6/15/2013,136,66,844,293,398,none
6/16/2013,75,65,604,219,398,none
6/17/2013,89,40,452,211,321,none
6/18/2013,43,40,458,299,344,none
6/19/2013,81,38,489,202,225,none
6/20/2013,61,42,455,237,365,none
6/21/2013,92,68,488,269,436,promotion
6/22/2013,117,75,477,352,424,none
6/23/2013,86,79,681,292,432,none
6/24/2013,78,61,430,212,381,none
6/25/2013,81,61,440,251,327,none
6/26/2013,78,51,303,265,195,none
